"id","sentence","aspect","opinion"
"3121","But the staff was so horrible to us .","staff","horrible"
"2777","To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .","food","above average"
"1634","The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .","food","exceptional"
"1634","The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .","kitchen","capable"
"2846","Not only was the food outstanding , but the little ' perks ' were great .","food","outstanding"
"2846","Not only was the food outstanding , but the little ' perks ' were great .","perks","great"
"1458","Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .","orrechiete with sausage and chicken","favorite"
"1458","Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .","waiters","kind"
"3161","The Bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .","Bagels","outstanding terrific chewy gummy"
"2391","Nevertheless the food itself is pretty good .","food","good"
"296","They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","toast","forgot"
"296","They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","bacon","over cooked"
"296","They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","cheese","left out"
"296","They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","ingredients","left out"
"296","They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","plate","over cooked"
"296","They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","omelet","left out"
"2200","The design and atmosphere is just as good .","design","good"
"2200","The design and atmosphere is just as good .","atmosphere","good"
"3359","The pizza is the best if you like thin crusted pizza .","pizza","best"
"1407","The seats are uncomfortable if you are sitting against the wall on wooden benches .","seats","uncomfortable"
"2227","My suggestion is to eat family style because you 'll want to try the other dishes .","eat family style","suggestion"
"3367","Best of all is the warm vibe , the owner is super friendly and service is fast .","vibe","warm"
"3367","Best of all is the warm vibe , the owner is super friendly and service is fast .","owner","friendly"
"3367","Best of all is the warm vibe , the owner is super friendly and service is fast .","service","fast"
"2191","Faan 's got a great concept but a little rough on the delivery .","delivery","rough"
"270","From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .","food","incredible"
"270","From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .","atmosphere","warm"
"270","From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .","service","friendly"
"638","Great food at REASONABLE prices , makes for an evening that ca n't be beat !","food","Great"
"638","Great food at REASONABLE prices , makes for an evening that ca n't be beat !","prices","REASONABLE"
"388","this little place has a cute interior decor and affordable city prices .","interior decor","cute"
"388","this little place has a cute interior decor and affordable city prices .","prices","affordable"
"3373","Two words : Free wine .","wine","Free"
"425","The price is reasonable although the service is poor .","price","reasonable"
"425","The price is reasonable although the service is poor .","service","poor"
"3192","The quantity is also very good , you will come out satisfied .","quantity","good satisfied"
"2384","The fried rice is amazing here .","fried rice","amazing"
"2962","Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","mussels","excellent"
"2962","Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","puff pastry goat cheese","excellent"
"2962","Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","salad with a delicious dressing","delicious"
"2962","Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","hanger steak au poivre","out of this world"
"3404","it 's a perfect place to have a amazing indian food .","indian food","amazing"
"2599","The place is so cool and the service is prompt and curtious .","service","prompt curtious"
"2599","The place is so cool and the service is prompt and curtious .","place","cool"
"673","At the end you 're left with a mild broth with noodles that you can slurp out of a cup .","broth with noodles","mild"
"648","I just wonder how you can have such a delicious meal for such little money .","meal","delicious"
"648","I just wonder how you can have such a delicious meal for such little money .","money","little"
"863","The food was delicious but do not come here on a empty stomach .","food","delicious"
"1623","The wine list is excellent .","wine list","excellent"
"430","Ive been to many Thai restaurants in Manhattan before , and Toons is by far the best Thai food Ive had ( except for my mom 's of course ) .","Thai food","best"
"2783","This is a consistently great place to dine for lunch or dinner .","dine","great"
"2983","Nice atmosphere , the service was very pleasant and the desert was good .","atmosphere","Nice"
"2983","Nice atmosphere , the service was very pleasant and the desert was good .","service","pleasant"
"2983","Nice atmosphere , the service was very pleasant and the desert was good .","desert","good"
"627","After really enjoying ourselves at the bar we sat down at a table and had dinner .","bar","enjoying"
"627","After really enjoying ourselves at the bar we sat down at a table and had dinner .","table","enjoying"
"627","After really enjoying ourselves at the bar we sat down at a table and had dinner .","dinner","enjoying"
"3219","Fabulous service , fantastic food , and a chilled out atmosphere and environment .","service","Fabulous"
"3219","Fabulous service , fantastic food , and a chilled out atmosphere and environment .","food","fantastic"
"3219","Fabulous service , fantastic food , and a chilled out atmosphere and environment .","atmosphere","chilled out"
"3219","Fabulous service , fantastic food , and a chilled out atmosphere and environment .","environment","chilled out"
"604","I liked the beer selection !","beer selection","liked"
"2911","Great food , good size menu , great service and an unpretentious setting .","food","Great"
"2911","Great food , good size menu , great service and an unpretentious setting .","menu","good"
"2911","Great food , good size menu , great service and an unpretentious setting .","service","great"
"2911","Great food , good size menu , great service and an unpretentious setting .","setting","unpretentious"
"3074","Go here for a romantic dinner but not for an all out wow dining experience .","dinner","romantic"
"3074","Go here for a romantic dinner but not for an all out wow dining experience .","dining","wow"
"912","Wine list selection is good and wine-by-the-glass was generously filled to the top .","Wine list selection","good"
"912","Wine list selection is good and wine-by-the-glass was generously filled to the top .","wine-by-the-glass","generously filled"
"728","With the great variety on the menu , I eat here often and never get bored .","menu","great variety"
"2925","The menu is very limited - i think we counted 4 or 5 entrees .","menu","limited"
"3436","The menu is limited but almost all of the dishes are excellent .","menu","limited"
"3436","The menu is limited but almost all of the dishes are excellent .","dishes","excellent"
"3273","Not too crazy about their sake martini .","sake martini","crazy"
"1215","Great bagels , spreads and a good place to hang out in .","bagels","Great"
"1215","Great bagels , spreads and a good place to hang out in .","spreads","Great"
"183","The service varys from day to day- sometimes they 're very nice , and sometimes not .","service","varys"
"3249","Unfortunately , the food is outstanding , but everything else about this restaurant is the pits .","food","outstanding"
"3207","We always have a delicious meal and always leave feeling satisfied .","meal","delicious"
"2972","First went here to enjoy their garden terrace .","garden terrace","enjoy"
"1755","The pizza was pretty good and huge .","pizza","good huge"
"2277","The cuisine from what I 've gathered is authentic Taiwanese , though its very different from what I 've been accustomed to in Taipei .","cuisine","different"
"3680","I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded .","atmosphere","great"
"3155","They are often crowded on the weekends but they are efficient and accurate with their service .","service","efficient accurate"
"3155","They are often crowded on the weekends but they are efficient and accurate with their service .","crowded","crowded"
"1688","All my co-workers were amazed at how small the dish was .","dish","small"
"598","The atmosphere is unheralded , the service impeccable , and the food magnificant .","atmosphere","unheralded"
"598","The atmosphere is unheralded , the service impeccable , and the food magnificant .","service","impeccable"
"598","The atmosphere is unheralded , the service impeccable , and the food magnificant .","food","magnificant"
"2926","We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .","grilled branzino","difficult to eat"
"3083","The wait staff is friendly , and the food has gotten better and better !","wait staff","friendly"
